gene_id,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_GC_Rep1_M33
ENSMUSG00000027971,166,146
ENSMUSG00000027973,0,0
ENSMUSG00000027977,711,457
ENSMUSG00000027978,193,293
ENSMUSG00000027981,1374,682
ENSMUSG00000027983,1353,1147
ENSMUSG00000027984,2061,1790
ENSMUSG00000027985,195,170
ENSMUSG00000027993,11595,8266
ENSMUSG00000027994,119,99
ENSMUSG00000027995,272,309
ENSMUSG00000027996,1210,2493
ENSMUSG00000027997,271,222
ENSMUSG00000027998,1610,1380
ENSMUSG00000027999,618,598
ENSMUSG00000028001,0,0
ENSMUSG00000028003,6440,3257
ENSMUSG00000028004,0,1
ENSMUSG00000028005,2438,1983
ENSMUSG00000028007,266,207
ENSMUSG00000028008,2,2
ENSMUSG00000028009,0,0
ENSMUSG00000028010,301,291
ENSMUSG00000028011,0,0
ENSMUSG00000028012,873,607
ENSMUSG00000028013,1719,1387
ENSMUSG00000028015,1395,1030
ENSMUSG00000028016,933,766
ENSMUSG00000028017,363,146
ENSMUSG00000028018,1017,907
ENSMUSG00000028019,378,406
ENSMUSG00000028020,1670,1486
ENSMUSG00000028023,1053,1114
ENSMUSG00000028024,805,708
ENSMUSG00000028028,389,282
ENSMUSG00000028029,1363,1284
ENSMUSG00000028030,3507,2768
ENSMUSG00000028031,983,1367
ENSMUSG00000028032,2923,2488
ENSMUSG00000028033,292,240
ENSMUSG00000028034,4521,3408
ENSMUSG00000028035,2542,1984
ENSMUSG00000028036,254,297
ENSMUSG00000028037,98,45
ENSMUSG00000028039,311,295
ENSMUSG00000028040,175,137
ENSMUSG00000028041,2460,2096
ENSMUSG00000028042,3321,2354
ENSMUSG00000028044,166,142
ENSMUSG00000028047,208,243
ENSMUSG00000028048,1610,1446
ENSMUSG00000028049,1093,1027
ENSMUSG00000028051,464,352
ENSMUSG00000028053,17999,13668
ENSMUSG00000028057,1049,820
ENSMUSG00000028059,3226,2823
ENSMUSG00000028060,1983,1657
ENSMUSG00000028062,885,727
ENSMUSG00000028063,4382,4256
ENSMUSG00000028064,1784,1197
ENSMUSG00000028066,381,311
ENSMUSG00000028068,507,318
ENSMUSG00000028069,254,186
ENSMUSG00000028070,1131,1099
ENSMUSG00000028071,7,5
ENSMUSG00000028072,134,93
ENSMUSG00000028073,371,349
ENSMUSG00000028076,71,52
ENSMUSG00000028078,1068,853
ENSMUSG00000028080,14118,11194
ENSMUSG00000028081,16406,16597
ENSMUSG00000028082,4556,3688
ENSMUSG00000028085,420,319
ENSMUSG00000028086,2779,2157
ENSMUSG00000028088,1021,810
ENSMUSG00000028089,1004,748
ENSMUSG00000028093,474,391
ENSMUSG00000028096,1834,1496
ENSMUSG00000028098,1791,1401
ENSMUSG00000028099,889,780
ENSMUSG00000028100,58,63
ENSMUSG00000028101,2183,1649
ENSMUSG00000028102,701,625
ENSMUSG00000028104,662,489
ENSMUSG00000028106,5586,4548
ENSMUSG00000028107,818,602
ENSMUSG00000028108,2039,1603
ENSMUSG00000028109,0,0
ENSMUSG00000028111,451,666
ENSMUSG00000028114,1152,864
ENSMUSG00000028115,573,472
ENSMUSG00000028116,505,263
ENSMUSG00000028121,1330,1111
ENSMUSG00000028124,2436,2083
ENSMUSG00000028125,61476,51172
ENSMUSG00000028126,2283,1987
ENSMUSG00000028127,5856,3801
ENSMUSG00000028128,2590,2085
ENSMUSG00000028132,5306,3681
ENSMUSG00000028133,115,87
ENSMUSG00000028134,2781,1952
ENSMUSG00000028136,4038,3116
ENSMUSG00000028137,1784,1301
ENSMUSG00000028138,2131,1934
ENSMUSG00000028139,16,19
ENSMUSG00000028140,1352,1091
ENSMUSG00000028141,0,1
ENSMUSG00000028145,366,363
ENSMUSG00000028148,7,6
ENSMUSG00000028149,6277,5251
ENSMUSG00000028150,640,508
ENSMUSG00000028152,6228,5731
ENSMUSG00000028156,3132,2359
ENSMUSG00000028158,704,478
ENSMUSG00000028159,754,512
ENSMUSG00000028161,6920,5373
ENSMUSG00000028163,2251,1931
ENSMUSG00000028164,742,729
ENSMUSG00000028165,2311,1713
ENSMUSG00000028167,451,486
ENSMUSG00000028172,892,901
ENSMUSG00000028173,5335,5361
ENSMUSG00000028174,8157,5331
ENSMUSG00000028175,56,28
ENSMUSG00000028176,231,164
ENSMUSG00000028177,0,0
ENSMUSG00000028179,240,174
ENSMUSG00000028180,2593,1709
ENSMUSG00000028182,71,47
ENSMUSG00000028184,3658,3236
ENSMUSG00000028185,577,852
ENSMUSG00000028186,2,7
ENSMUSG00000028187,1133,1051
ENSMUSG00000028188,980,627
ENSMUSG00000028189,440,351
ENSMUSG00000028191,1051,873
ENSMUSG00000028194,2054,1938
ENSMUSG00000028195,1333,1420
ENSMUSG00000028197,164,184
ENSMUSG00000028199,671,541
ENSMUSG00000028207,7002,5785
ENSMUSG00000028211,2068,1501
ENSMUSG00000028212,224,115
ENSMUSG00000028214,679,615
ENSMUSG00000028217,17,18
ENSMUSG00000028218,812,598
ENSMUSG00000028221,1478,1174
ENSMUSG00000028222,1381,1132
ENSMUSG00000028223,1238,910
ENSMUSG00000028224,835,632
ENSMUSG00000028226,531,433
ENSMUSG00000028228,6216,4991
ENSMUSG00000028229,269,228
ENSMUSG00000028232,823,590
ENSMUSG00000028233,1588,1379
ENSMUSG00000028234,9039,9258
ENSMUSG00000028236,8,1
ENSMUSG00000028238,115,136
ENSMUSG00000028240,0,0
ENSMUSG00000028243,1191,1023
ENSMUSG00000028244,0,0
ENSMUSG00000028245,1399,998
ENSMUSG00000028246,1975,1355
ENSMUSG00000028247,373,246
ENSMUSG00000028248,3999,2252
ENSMUSG00000028249,5089,4259
ENSMUSG00000028251,383,280
ENSMUSG00000028252,939,628
ENSMUSG00000028255,243,187
ENSMUSG00000028256,609,397
ENSMUSG00000028259,6,4
ENSMUSG00000028261,946,543
ENSMUSG00000028262,10,0
ENSMUSG00000028264,25,35
ENSMUSG00000028266,2191,1702
ENSMUSG00000028268,374,373
ENSMUSG00000028270,1067,867
ENSMUSG00000028271,1005,730
ENSMUSG00000028273,7335,5542
ENSMUSG00000028274,1228,1119
ENSMUSG00000028277,4982,3933
ENSMUSG00000028278,4499,3170
ENSMUSG00000028280,1881,1614
ENSMUSG00000028282,1888,1407
ENSMUSG00000028284,3015,2285
ENSMUSG00000028287,0,0
ENSMUSG00000028289,1211,967
ENSMUSG00000028291,1915,1341
ENSMUSG00000028292,902,644
ENSMUSG00000028293,1474,1057
ENSMUSG00000028294,79,78
ENSMUSG00000028295,438,277
ENSMUSG00000028298,0,0
ENSMUSG00000028300,671,516
ENSMUSG00000028307,147,95
ENSMUSG00000028309,3130,2458
ENSMUSG00000028310,1,4
ENSMUSG00000028312,636,399
ENSMUSG00000028314,0,0
ENSMUSG00000028318,198,197
ENSMUSG00000028322,465,348
ENSMUSG00000028327,25,22
ENSMUSG00000028328,1819,1406
ENSMUSG00000028329,403,388
ENSMUSG00000028330,2195,1802
ENSMUSG00000028331,130,153
ENSMUSG00000028332,3,2
ENSMUSG00000028333,3223,2825
ENSMUSG00000028334,873,828
ENSMUSG00000028337,1511,1040
ENSMUSG00000028339,1041,1069
ENSMUSG00000028341,697,721
ENSMUSG00000028343,1728,1453
ENSMUSG00000028344,499,418
ENSMUSG00000028345,812,682
ENSMUSG00000028347,564,459
ENSMUSG00000028348,281,182
ENSMUSG00000028351,687,543
ENSMUSG00000028354,2208,1674
ENSMUSG00000028356,0,0
ENSMUSG00000028357,2,7
ENSMUSG00000028358,1325,1134
ENSMUSG00000028359,1,0
ENSMUSG00000028360,92,67
ENSMUSG00000028362,14,8
ENSMUSG00000028364,1698,2379
ENSMUSG00000028367,2878,1992
ENSMUSG00000028369,3915,4883
ENSMUSG00000028370,599,491
ENSMUSG00000028373,898,808
ENSMUSG00000028378,3339,2776
ENSMUSG00000028381,3241,2707
ENSMUSG00000028382,6669,4497
ENSMUSG00000028383,2179,1587
ENSMUSG00000028385,1283,953
ENSMUSG00000028386,154,122
ENSMUSG00000028389,1175,887
ENSMUSG00000028391,875,626
ENSMUSG00000028392,1303,969
ENSMUSG00000028393,1199,1074
ENSMUSG00000028394,791,778
ENSMUSG00000028396,237,85
ENSMUSG00000028397,6912,5134
ENSMUSG00000028398,636,518
ENSMUSG00000028399,8807,7015
ENSMUSG00000028402,9305,8063
ENSMUSG00000028403,3148,2209
ENSMUSG00000028405,2638,2335
ENSMUSG00000028407,161,103
ENSMUSG00000028409,2561,2149
ENSMUSG00000028410,5479,4747
ENSMUSG00000028411,1130,829
ENSMUSG00000028412,5782,4514
ENSMUSG00000028413,4234,3278
ENSMUSG00000028414,2448,1650
ENSMUSG00000028415,0,0
ENSMUSG00000028416,3106,2839
ENSMUSG00000028417,25,8
ENSMUSG00000028419,2538,1892
ENSMUSG00000028420,699,554
ENSMUSG00000028423,2902,2474
ENSMUSG00000028426,6405,5260
ENSMUSG00000028427,30,10
ENSMUSG00000028430,2185,1993
ENSMUSG00000028431,2556,2141
ENSMUSG00000028433,3866,3155
ENSMUSG00000028434,1944,1709
ENSMUSG00000028435,14395,11088
ENSMUSG00000028436,2790,2359
ENSMUSG00000028437,2681,2262
ENSMUSG00000028438,138,87
ENSMUSG00000028439,2434,1699
ENSMUSG00000028441,3,1
ENSMUSG00000028443,386,275
ENSMUSG00000028444,1540,1297
ENSMUSG00000028445,587,533
ENSMUSG00000028447,1012,850
ENSMUSG00000028451,2,0
ENSMUSG00000028452,17630,15758
ENSMUSG00000028453,190,104
ENSMUSG00000028454,1186,893
ENSMUSG00000028455,1417,1084
ENSMUSG00000028456,19588,13441
ENSMUSG00000028457,47,23
ENSMUSG00000028458,2066,1874
ENSMUSG00000028459,60,59
ENSMUSG00000028460,0,1
ENSMUSG00000028461,1066,871
ENSMUSG00000028463,58,90
ENSMUSG00000028464,11461,7566
ENSMUSG00000028465,10080,10031
ENSMUSG00000028466,1219,1157
ENSMUSG00000028467,1696,1202
ENSMUSG00000028468,3441,2672
ENSMUSG00000028469,2051,2086
ENSMUSG00000028470,435,332
ENSMUSG00000028475,34,21
ENSMUSG00000028476,1564,2026
ENSMUSG00000028478,5258,4523
ENSMUSG00000028479,3225,2208
ENSMUSG00000028480,151,120
ENSMUSG00000028483,884,638
ENSMUSG00000028484,6731,4598
ENSMUSG00000028487,992,1032
ENSMUSG00000028488,6634,5084
ENSMUSG00000028492,0,0
ENSMUSG00000028494,3205,761
ENSMUSG00000028495,16507,16203
ENSMUSG00000028496,2083,1436
ENSMUSG00000028497,1064,1062
ENSMUSG00000028514,6779,5110
ENSMUSG00000028517,5129,5128
ENSMUSG00000028518,4029,2965
ENSMUSG00000028519,1622,1169
ENSMUSG00000028520,0,0
ENSMUSG00000028521,656,478
ENSMUSG00000028522,3220,2371
ENSMUSG00000028523,5,0
ENSMUSG00000028524,9374,7282
ENSMUSG00000028525,2904,2366
ENSMUSG00000028527,904,915
ENSMUSG00000028528,6643,5433
ENSMUSG00000028530,9602,7895
ENSMUSG00000028532,1412,1390
ENSMUSG00000028533,0,0
ENSMUSG00000028536,143,107
ENSMUSG00000028538,939,740
ENSMUSG00000028539,113,73
ENSMUSG00000028540,393,315
ENSMUSG00000028541,1518,1315
ENSMUSG00000028542,5994,5531
ENSMUSG00000028544,90,71
ENSMUSG00000028545,147,125
ENSMUSG00000028546,590,388
ENSMUSG00000028549,279,181
ENSMUSG00000028550,2106,1552
ENSMUSG00000028551,722,559
ENSMUSG00000028552,4060,3361
ENSMUSG00000028553,7,4
ENSMUSG00000028555,166,74
ENSMUSG00000028556,4569,3726
ENSMUSG00000028557,5443,4183
ENSMUSG00000028558,34,44
ENSMUSG00000028559,4357,3488
ENSMUSG00000028560,1871,1478
ENSMUSG00000028563,751,543
ENSMUSG00000028565,5295,4443
ENSMUSG00000028567,1428,1406
ENSMUSG00000028568,2723,2180
ENSMUSG00000028571,39,40
ENSMUSG00000028572,6316,4209
ENSMUSG00000028573,249,243
ENSMUSG00000028575,7,3
ENSMUSG00000028576,910,627
ENSMUSG00000028577,1900,1562
ENSMUSG00000028578,365,239
ENSMUSG00000028580,6167,5195
ENSMUSG00000028581,865,1040
ENSMUSG00000028582,1361,1044
ENSMUSG00000028583,4479,4353
ENSMUSG00000028584,273,161
ENSMUSG00000028587,13,8
ENSMUSG00000028589,0,0
ENSMUSG00000028590,0,0
ENSMUSG00000028591,27,7
ENSMUSG00000028593,2031,5
ENSMUSG00000028597,129,131
ENSMUSG00000028599,507,523
ENSMUSG00000028600,600,542
ENSMUSG00000028601,195,148
ENSMUSG00000028602,247,250
ENSMUSG00000028603,5814,4484
ENSMUSG00000028607,1109,1063
ENSMUSG00000028608,726,588
ENSMUSG00000028609,680,583
ENSMUSG00000028610,7,2
ENSMUSG00000028612,0,0
ENSMUSG00000028613,3086,2132
ENSMUSG00000028614,966,715
ENSMUSG00000028617,1209,1113
ENSMUSG00000028618,8274,7481
ENSMUSG00000028619,800,672
ENSMUSG00000028621,235,169
ENSMUSG00000028622,1030,826
ENSMUSG00000028626,385,460
ENSMUSG00000028629,290,281
ENSMUSG00000028630,7438,5738
ENSMUSG00000028631,810,736
ENSMUSG00000028633,876,743
ENSMUSG00000028634,1099,833
ENSMUSG00000028635,33,26
ENSMUSG00000028636,234,159
ENSMUSG00000028637,82,67
ENSMUSG00000028639,17278,15641
ENSMUSG00000028640,590,427
ENSMUSG00000028641,533,539
ENSMUSG00000028642,9,2
ENSMUSG00000028643,411,414
ENSMUSG00000028644,365,230
ENSMUSG00000028645,13038,12875
ENSMUSG00000028646,2986,2698
ENSMUSG00000028647,373,262
ENSMUSG00000028648,1790,1554
ENSMUSG00000028649,47173,35785
ENSMUSG00000028651,662,505
ENSMUSG00000028653,309,186
ENSMUSG00000028654,823,576
ENSMUSG00000028655,250,177
ENSMUSG00000028656,7171,6326
ENSMUSG00000028657,3111,2607
ENSMUSG00000028661,961,730
ENSMUSG00000028664,1790,1637
ENSMUSG00000028668,4319,3557
ENSMUSG00000028669,1691,1511
ENSMUSG00000028670,1918,1718
ENSMUSG00000028671,424,277
ENSMUSG00000028672,868,752
ENSMUSG00000028673,2046,2289
ENSMUSG00000028675,2959,2383
ENSMUSG00000028676,3577,2546
ENSMUSG00000028677,3232,2420
ENSMUSG00000028678,170,74
ENSMUSG00000028680,129,89
ENSMUSG00000028681,27,32
ENSMUSG00000028683,604,513
ENSMUSG00000028684,1466,1087
ENSMUSG00000028687,44,38
ENSMUSG00000028688,599,485
ENSMUSG00000028689,227,140
ENSMUSG00000028690,887,699
ENSMUSG00000028691,6962,6099
ENSMUSG00000028692,9009,8278
ENSMUSG00000028693,875,732
ENSMUSG00000028696,881,766
ENSMUSG00000028698,5306,4798
ENSMUSG00000028699,546,399
ENSMUSG00000028700,2234,1739
ENSMUSG00000028701,892,781
ENSMUSG00000028702,59,32
ENSMUSG00000028703,1788,1625
ENSMUSG00000028706,665,524
ENSMUSG00000028707,26,27
ENSMUSG00000028708,567,483
ENSMUSG00000028709,295,203
ENSMUSG00000028710,1098,919
ENSMUSG00000028712,11,6
ENSMUSG00000028713,157,170
ENSMUSG00000028715,4,1
ENSMUSG00000028716,2508,1937
ENSMUSG00000028717,34,40
ENSMUSG00000028718,136,84
ENSMUSG00000028719,2821,1747
ENSMUSG00000028729,1995,1667
ENSMUSG00000028730,14,14
ENSMUSG00000028736,31,5
ENSMUSG00000028737,1398,1186
ENSMUSG00000028738,0,0
ENSMUSG00000028741,610,530
ENSMUSG00000028743,667,622
ENSMUSG00000028744,409,313
ENSMUSG00000028745,6516,5602
ENSMUSG00000028747,15,15
ENSMUSG00000028749,72,56
ENSMUSG00000028750,32,17
ENSMUSG00000028751,38,58
ENSMUSG00000028753,93,66
ENSMUSG00000028755,287,175
ENSMUSG00000028756,10888,9728
ENSMUSG00000028757,3124,3183
ENSMUSG00000028758,100,62
ENSMUSG00000028759,8889,7060
ENSMUSG00000028760,10826,8240
ENSMUSG00000028763,14426,16230
ENSMUSG00000028766,6381,4638
ENSMUSG00000028771,1143,969
ENSMUSG00000028772,1179,1022
ENSMUSG00000028773,628,418
ENSMUSG00000028776,1016,1021
ENSMUSG00000028777,10,3
ENSMUSG00000028778,16,10
ENSMUSG00000028779,1655,1510
ENSMUSG00000028780,3220,2271
ENSMUSG00000028782,1496,1414
ENSMUSG00000028784,5,11
ENSMUSG00000028785,1117,919
ENSMUSG00000028786,41,28
ENSMUSG00000028788,10521,7477
ENSMUSG00000028789,707,612
ENSMUSG00000028790,5901,4753
ENSMUSG00000028792,1188,1077
ENSMUSG00000028793,1096,980
ENSMUSG00000028794,25,29
ENSMUSG00000028795,320,299
ENSMUSG00000028796,5124,4449
ENSMUSG00000028797,2335,1970
ENSMUSG00000028798,2437,2414
ENSMUSG00000028799,1250,1045
ENSMUSG00000028800,2006,1741
ENSMUSG00000028801,33,21
ENSMUSG00000028803,5737,4627
ENSMUSG00000028804,710,538
ENSMUSG00000028807,365,331
ENSMUSG00000028809,7449,5847
ENSMUSG00000028811,2307,2082
ENSMUSG00000028813,3,4
ENSMUSG00000028820,9604,8498
ENSMUSG00000028821,1706,1563
ENSMUSG00000028822,2726,2453
ENSMUSG00000028825,4,4
ENSMUSG00000028826,3149,2671
ENSMUSG00000028830,3117,2511
ENSMUSG00000028832,3383,2613
ENSMUSG00000028833,5099,4711
ENSMUSG00000028834,244,208
ENSMUSG00000028836,40,42
ENSMUSG00000028837,1775,1418
ENSMUSG00000028838,350,229
ENSMUSG00000028840,356,298
ENSMUSG00000028841,712,596
ENSMUSG00000028842,3829,2399
ENSMUSG00000028843,1844,1525
ENSMUSG00000028845,38,29
ENSMUSG00000028847,1758,1593
ENSMUSG00000028848,328,225
ENSMUSG00000028849,4728,3846
ENSMUSG00000028850,210,167
ENSMUSG00000028851,3298,2994
ENSMUSG00000028854,3405,2796
ENSMUSG00000028857,1531,1328
ENSMUSG00000028859,57,57
ENSMUSG00000028860,1728,1409
ENSMUSG00000028861,468,365
ENSMUSG00000028862,580,533
ENSMUSG00000028863,1719,1334
ENSMUSG00000028864,327,300
ENSMUSG00000028865,7,7
ENSMUSG00000028868,6053,5340
ENSMUSG00000028869,2144,1768
ENSMUSG00000028871,320,402
ENSMUSG00000028873,246,195
ENSMUSG00000028874,12,26
ENSMUSG00000028876,354,246
ENSMUSG00000028878,1804,1487
ENSMUSG00000028879,3145,2387
ENSMUSG00000028882,1349,1168
ENSMUSG00000028883,815,817
ENSMUSG00000028884,631,572
ENSMUSG00000028885,97,88
ENSMUSG00000028886,1969,1669
ENSMUSG00000028889,639,504
ENSMUSG00000028890,2412,1896
ENSMUSG00000028893,878,766
ENSMUSG00000028894,1495,1214
ENSMUSG00000028896,435,382
ENSMUSG00000028898,749,661
ENSMUSG00000028899,792,667
ENSMUSG00000028901,1098,887
ENSMUSG00000028902,1533,1235
ENSMUSG00000028906,31299,23871
ENSMUSG00000028907,836,710
ENSMUSG00000028909,2999,2991
ENSMUSG00000028910,547,445
ENSMUSG00000028911,3570,3124
ENSMUSG00000028914,1621,1290
ENSMUSG00000028917,2476,1949
ENSMUSG00000028919,1022,796
ENSMUSG00000028920,2106,1873
ENSMUSG00000028923,2224,1991
ENSMUSG00000028926,4798,3724
ENSMUSG00000028927,2528,2033
ENSMUSG00000028931,8761,6748
ENSMUSG00000028932,3235,2732
ENSMUSG00000028933,541,424
ENSMUSG00000028936,4858,4673
ENSMUSG00000028937,2285,1941
ENSMUSG00000028938,0,0
ENSMUSG00000028940,2,1
ENSMUSG00000028943,1100,1048
ENSMUSG00000028944,984,896
ENSMUSG00000028945,2630,2155
ENSMUSG00000028946,2,0
ENSMUSG00000028948,947,853
ENSMUSG00000028949,674,569
ENSMUSG00000028950,11,3
ENSMUSG00000028952,346,251
ENSMUSG00000028953,2770,2437
ENSMUSG00000028954,3979,3375
ENSMUSG00000028955,2166,1742
ENSMUSG00000028957,2205,1739
ENSMUSG00000028958,400,383
ENSMUSG00000028959,1667,1304
ENSMUSG00000028960,6101,5287
ENSMUSG00000028961,3720,2953
ENSMUSG00000028962,3576,3036
ENSMUSG00000028963,0,0
ENSMUSG00000028964,4729,4691
ENSMUSG00000028965,8,5
ENSMUSG00000028967,2342,1758
ENSMUSG00000028969,868,661
ENSMUSG00000028970,200,211
ENSMUSG00000028971,25,32
ENSMUSG00000028972,148,184
ENSMUSG00000028973,1253,1004
ENSMUSG00000028974,1115,863
ENSMUSG00000028975,1433,1090
ENSMUSG00000028976,15,10
ENSMUSG00000028977,9926,7079
ENSMUSG00000028978,407,363
ENSMUSG00000028979,1,3
ENSMUSG00000028980,1733,1689
ENSMUSG00000028982,1868,1425
ENSMUSG00000028986,1772,1360
ENSMUSG00000028988,998,897
ENSMUSG00000028989,1931,2893
ENSMUSG00000028990,657,580
ENSMUSG00000028991,7230,6478
ENSMUSG00000028992,229,174
ENSMUSG00000028995,1681,1380
ENSMUSG00000028996,5,2
ENSMUSG00000028998,1214,1000
ENSMUSG00000028999,1143,937
ENSMUSG00000029001,741,527
ENSMUSG00000029003,180,156
ENSMUSG00000029004,12214,9463
ENSMUSG00000029005,55,35
ENSMUSG00000029007,2598,1961
ENSMUSG00000029009,1561,1248
ENSMUSG00000029012,651,528
ENSMUSG00000029014,1016,803
ENSMUSG00000029015,1,0
ENSMUSG00000029016,3182,2672
ENSMUSG00000029017,1993,1660
ENSMUSG00000029019,5,4
ENSMUSG00000029020,8137,7062
ENSMUSG00000029022,269,133
ENSMUSG00000029026,48,31
ENSMUSG00000029027,83,70
ENSMUSG00000029028,2015,1611
ENSMUSG00000029029,440,380
ENSMUSG00000029030,3906,3471
ENSMUSG00000029032,569,432
ENSMUSG00000029033,1326,1205
ENSMUSG00000029034,958,775
ENSMUSG00000029036,872,722
ENSMUSG00000029038,2412,1806
ENSMUSG00000029044,0,0
ENSMUSG00000029047,441,362
ENSMUSG00000029048,3296,2633
ENSMUSG00000029049,218,138
ENSMUSG00000029050,5181,5073
ENSMUSG00000029053,3177,2294
ENSMUSG00000029054,276,232
ENSMUSG00000029055,8663,5880
ENSMUSG00000029056,1855,1278
ENSMUSG00000029059,990,1062
ENSMUSG00000029060,1464,1224
ENSMUSG00000029061,82,126
ENSMUSG00000029062,2832,1985
ENSMUSG00000029063,2543,1858
ENSMUSG00000029064,205727,161976
ENSMUSG00000029066,843,778
ENSMUSG00000029068,1914,1139
ENSMUSG00000029070,1301,1702
ENSMUSG00000029071,1890,1229
ENSMUSG00000029072,41,41
ENSMUSG00000029073,800,685
ENSMUSG00000029074,62,26
ENSMUSG00000029075,15,4
ENSMUSG00000029076,7990,7169
ENSMUSG00000029082,229,151
ENSMUSG00000029084,159,116
ENSMUSG00000029086,21390,16081
ENSMUSG00000029088,938,609
ENSMUSG00000029089,406,312
ENSMUSG00000029090,1897,1947
ENSMUSG00000029092,4,0
ENSMUSG00000029093,2665,2515
ENSMUSG00000029094,2726,2330
ENSMUSG00000029095,820,646
ENSMUSG00000029096,856,950
ENSMUSG00000029097,389,392
ENSMUSG00000029098,1454,1165
ENSMUSG00000029101,1530,1226
ENSMUSG00000029102,6,6
ENSMUSG00000029103,4145,3905
ENSMUSG00000029104,9689,7165
ENSMUSG00000029106,16207,13315
ENSMUSG00000029108,5354,4010
ENSMUSG00000029110,2951,2636
ENSMUSG00000029111,1075,998
ENSMUSG00000029112,0,1
ENSMUSG00000029119,2826,3024
ENSMUSG00000029120,2022,1510
ENSMUSG00000029121,2838,2433
ENSMUSG00000029122,797,770
ENSMUSG00000029123,136,116
ENSMUSG00000029125,641,565
ENSMUSG00000029126,1420,1222
ENSMUSG00000029127,489,341
ENSMUSG00000029128,3269,2486
ENSMUSG00000029130,194,142
ENSMUSG00000029131,4313,3273
ENSMUSG00000029134,38,24
ENSMUSG00000029135,11488,8875
ENSMUSG00000029136,119,94
ENSMUSG00000029138,3,2
ENSMUSG00000029141,1661,1308
ENSMUSG00000029145,913,787
ENSMUSG00000029146,2119,1846
ENSMUSG00000029147,2463,2164
ENSMUSG00000029148,2769,2311
ENSMUSG00000029149,98,39
ENSMUSG00000029151,59,55
ENSMUSG00000029152,5881,4768
ENSMUSG00000029153,1885,1627
ENSMUSG00000029154,1621,1269
ENSMUSG00000029155,10,10
ENSMUSG00000029156,1513,1093
ENSMUSG00000029158,100,63
ENSMUSG00000029161,104,108
ENSMUSG00000029162,394,296
ENSMUSG00000029163,1015,1218
ENSMUSG00000029165,885,639
ENSMUSG00000029166,4588,3606
ENSMUSG00000029167,2766,2057
ENSMUSG00000029168,1455,1136
ENSMUSG00000029169,5648,4807
ENSMUSG00000029171,594,468
ENSMUSG00000029173,1314,876
ENSMUSG00000029174,4064,2449
ENSMUSG00000029175,1280,1141
ENSMUSG00000029176,1925,1615
ENSMUSG00000029177,230,136
ENSMUSG00000029178,6824,5165
ENSMUSG00000029179,462,354
ENSMUSG00000029182,0,2
ENSMUSG00000029184,0,0
ENSMUSG00000029185,950,1009
ENSMUSG00000029186,476,276
ENSMUSG00000029188,3177,2829
ENSMUSG00000029189,1017,752
ENSMUSG00000029190,7305,5490
ENSMUSG00000029191,3025,2396
ENSMUSG00000029192,3345,2580
ENSMUSG00000029193,20,9
ENSMUSG00000029195,3,3
ENSMUSG00000029196,1249,1115
ENSMUSG00000029198,1525,1281
ENSMUSG00000029199,860,565
ENSMUSG00000029201,2524,1821
ENSMUSG00000029202,5039,3919
ENSMUSG00000029203,3950,3008
ENSMUSG00000029204,28,42
ENSMUSG00000029205,2,0
ENSMUSG00000029206,34,8
ENSMUSG00000029207,2762,2338
ENSMUSG00000029208,1084,659
ENSMUSG00000029209,663,482
ENSMUSG00000029211,284,244
ENSMUSG00000029212,951,624
ENSMUSG00000029213,1202,857
ENSMUSG00000029217,261,203
ENSMUSG00000029219,67,67
ENSMUSG00000029221,5811,4213
ENSMUSG00000029223,3327,3159
ENSMUSG00000029227,4055,3355
ENSMUSG00000029228,743,554
ENSMUSG00000029229,1419,1161
ENSMUSG00000029231,2839,2550
ENSMUSG00000029233,459,416
ENSMUSG00000029234,1294,1029
ENSMUSG00000029235,0,0
ENSMUSG00000029236,1,4
ENSMUSG00000029238,9772,6870
ENSMUSG00000029245,1993,1501
ENSMUSG00000029246,671,689
ENSMUSG00000029247,6712,6613
ENSMUSG00000029248,3,1
ENSMUSG00000029249,3083,2682
ENSMUSG00000029250,5419,4729
ENSMUSG00000029253,1086,810
ENSMUSG00000029254,20,16
ENSMUSG00000029255,1,1
ENSMUSG00000029260,2,3
ENSMUSG00000029263,1930,1367
ENSMUSG00000029265,1682,1498
ENSMUSG00000029267,1220,916
ENSMUSG00000029268,0,0
ENSMUSG00000029269,10,20
ENSMUSG00000029270,608,464
ENSMUSG00000029272,0,0
ENSMUSG00000029273,6,8
ENSMUSG00000029275,2,1
ENSMUSG00000029276,2147,1151
ENSMUSG00000029279,145,103
ENSMUSG00000029280,4,0
ENSMUSG00000029281,0,0
ENSMUSG00000029282,1,0
ENSMUSG00000029283,352,243
ENSMUSG00000029286,0,0
ENSMUSG00000029287,4972,4835
ENSMUSG00000029288,0,0
ENSMUSG00000029290,1003,670
ENSMUSG00000029291,11148,8383
ENSMUSG00000029298,280,217
ENSMUSG00000029299,16,20
ENSMUSG00000029304,2041,2203
ENSMUSG00000029306,0,0
ENSMUSG00000029307,4,1
ENSMUSG00000029309,8380,7854
ENSMUSG00000029310,1184,1117
ENSMUSG00000029311,3012,1631
ENSMUSG00000029312,1250,1103
ENSMUSG00000029313,12038,9721
ENSMUSG00000029314,195,164
ENSMUSG00000029319,1419,1024
ENSMUSG00000029320,5,1
ENSMUSG00000029321,30,27
ENSMUSG00000029322,1116,707
ENSMUSG00000029326,1258,1044
ENSMUSG00000029328,5511,3787
