,gsm,gse,geo_summary,spaceflight
0,GSM4947037,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Basal Control
1,GSM4947042,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Basal Control
2,GSM3720114,GSE129689,"Purpose: To get insight into mouse strain-dependent differences in vascular remodeling, we analyzed gene expression profiles of the ligated carotid arteries after interventions in C57BL/6J and 129X1/SvJ mice Methods: mRNA isolations from snap-frozen single carotids (n=3 per group) were conducted. Tissue homogenization by Next Advance Bullet Blender with zirconium oxide beads and Trizol. Total RNA isolation using Trizol and Qiagen RNeasy Micro kit. Results: Multiple quality controls showed a reliable RNAseq of mRNAs from the ligated carotid arteries. Specifically, there was less than 2.6% drop in reads that ranged between 26.5 to 37.7 million reads. We found a good alignment and mapping to a mouse genome (82.4 - 91.0%) in this RNAseq study. A differential gene expression analysis was done by DESeq2-1.16.1 within R-3.4.1 for data normalization and differential expression analysis with an adjusted p-value threshold of 0.05 on each set of raw expression measures. Conclusions: Our study shows significant differences in gene expression signatures in carotid arteries from two inbred mouse strains after sacubitril/valsartan treatment. We conclude that genetic background determines efficacy of the sacubitril/valsartan in mice.",Basal Control
3,GSM4263015,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Basal Control
4,GSM5704665,GSE189618,Analysis of RNAs from multiple mouse tissues to find kidney-specific genes,Basal Control
5,GSM4947034,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Basal Control
6,GSM6202434,GSE204925,This SuperSeries is composed of the SubSeries listed below.,Basal Control
7,GSM2508198,GSE95371,we report the comperative transcriptome analysis of the MMTV-TGF- α female mice thymus tissues,Basal Control
8,GSM4263016,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Basal Control
9,GSM4263014,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Basal Control
10,GSM4947037,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Ground Control
11,GSM4263015,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Ground Control
12,GSM4947042,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Ground Control
13,GSM4947034,GSE162218,This SuperSeries is composed of the SubSeries listed below.,Ground Control
14,GSM2508198,GSE95371,we report the comperative transcriptome analysis of the MMTV-TGF- α female mice thymus tissues,Ground Control
15,GSM4263014,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Ground Control
16,GSM2643075,GSE99364,"Although high c-Myc protein expression is observed alongside c-Myc gene amplification in some cancers, in most cases protein overexpression occurs while the amplified gene is largely absent, e.g. T-cell lymphoma (TCL). Here, Ca2+/calmodulin-dependent protein kinase II γ (CAMKIIγ) was shown to stabilize c-Myc protein by directly phosphorylating at serine 62 (S62), which represents a hitherto unknown mechanism of c-Myc protein overexpression. Further, CAMKIIγ was shown to be essential for tumor maintenance. Inhibiting CAMKIIγ with a potent CAMKIIγ-specific inhibitor destabilized c-Myc and reduced tumor burden dramatically. Importantly, high CAMKIIγ in clinical patient specimens positively correlated with increased c-Myc / pS62-c-Myc expression. Together, the CAMKIIγ:c-Myc axis critically influences the development and maintenance of TCL, and represent a novel therapeutic target for TCL.",Ground Control
17,GSM6202434,GSE204925,This SuperSeries is composed of the SubSeries listed below.,Ground Control
18,GSM4263016,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Ground Control
19,GSM1489513,GSE60827,We performed an RNA-Seq analysis comparing thymic lymphoma tissues from the p53-null(n=2) and ΔNp63Δ/Δ;p53-/- (n=3) or ΔNp73Δ/Δ;p53-/-(n=3). Mice at 10 weeks of age were injected with either Ad-mCherry or Ad-CRE-mCherry to delete ΔNp63/ΔNp73 in the thymic lmyphomas. We aimed to test by deleting the DNp63/DNp73 in these p53-deficient tumors will mediate tumor regression and analyze the expression profile of the genes,Ground Control
20,GSM3720114,GSE129689,"Purpose: To get insight into mouse strain-dependent differences in vascular remodeling, we analyzed gene expression profiles of the ligated carotid arteries after interventions in C57BL/6J and 129X1/SvJ mice Methods: mRNA isolations from snap-frozen single carotids (n=3 per group) were conducted. Tissue homogenization by Next Advance Bullet Blender with zirconium oxide beads and Trizol. Total RNA isolation using Trizol and Qiagen RNeasy Micro kit. Results: Multiple quality controls showed a reliable RNAseq of mRNAs from the ligated carotid arteries. Specifically, there was less than 2.6% drop in reads that ranged between 26.5 to 37.7 million reads. We found a good alignment and mapping to a mouse genome (82.4 - 91.0%) in this RNAseq study. A differential gene expression analysis was done by DESeq2-1.16.1 within R-3.4.1 for data normalization and differential expression analysis with an adjusted p-value threshold of 0.05 on each set of raw expression measures. Conclusions: Our study shows significant differences in gene expression signatures in carotid arteries from two inbred mouse strains after sacubitril/valsartan treatment. We conclude that genetic background determines efficacy of the sacubitril/valsartan in mice.",Space Flight
21,GSM2360697,GSE89207,RNA-seq analysis of 195 randomly selected (TRAMP x J:DO) F1 prostates that had been harvested at experimental termination (210 days or humane endpoints) was performed to identify metastasis associated transcriptomic changes,Space Flight
22,GSM5704665,GSE189618,Analysis of RNAs from multiple mouse tissues to find kidney-specific genes,Space Flight
23,GSM4330991,GSE145680,"Estrogens and progesterone control mammary gland development and breast carcinogenesis via their cognate receptors expressed in a subset of cells of the luminal layer of the mammary epithelium. The extracellular matrix (ECM) including the basement membrane (BM) is important in breast physiology and tumorigenesis but how epithelial hormone receptor signaling and ECM are linked mechanistically is unclear. We identify the secreted protease Adamts18 as critical intermediary. Luminal estrogen and progesterone receptor signaling via upregulation of Wnt4 expression and ensuing canonical Wnt signaling activation in basal cells control Adamts18 expression there. The protease has an epithelial-intrinsic role in stem cell activation. We identify multiple binding partners in the interstitial ECM and BM and show that ADAMTS18 cleaves fibronectin in vitro. Its deletion results in increased fibronectin, collagen I and IV, and laminin deposition in pubertal glands. Adamts18 interacts genetically with Col18a1, which encodes a proteoglycan that is BM-specific, in stem cell regulation. Adamts18 inactivation impairs Hippo signaling and reduces Fgfr2 expression and signaling, which are vital for stem cell function. Our findings link epithelial hormone signaling to BM remodeling by Adamts18, and define the BM as an essential stem cell niche component.",Space Flight
24,GSM3076030,GSE112665,"Cancer-associated inflammatory processes in the tumour microenvironment, as well as systemically, are strongly linked with poor disease outcome in cancer patients. For most human solid tumour types, high systemic neutrophil-to-lymphocyte ratios (NLR) are associated with increased metastasis and poor overall survival and recent experimental studies have demonstrated a causal relationship between neutrophils and metastasis formation. However, to date, the cancer cell-intrinsic mechanisms dictating the substantial heterogeneity in systemic neutrophilic inflammation between tumour-bearing hosts are largely unresolved. Using a panel of 16 distinct genetically engineered mouse models (GEMMs) for breast cancer, we demonstrate that tumour cell-intrinsic loss of p53 changes the phenotype and function of macrophages in the microenvironment, leading to activation of a systemic inflammatory cascade that drives neutrophil expansion. Mechanistically, p53 loss in cancer cells induces secretion of Wnt ligands that act in a paracrine fashion to stimulate IL-1b production from tumour-associated macrophages. Intratumoural IL-1β production stimulates an inflammatory cascade leading to the systemic accumulation of neutrophils. Pharmacological and genetic blockade of cancer cell-derived Wnt secretion reverses IL-1β expression by macrophages and subsequent systemic neutrophilic inflammation. Collectively, using pre-clinical mouse models for breast cancer, we demonstrate a novel mechanistic link between loss of p53 in cancer cells, Wnt ligand secretion and systemic immune activation. This illustrates the importance of cancer cell-intrinsic genetic aberrations in dictating cancer-associated inflammation. These insights set the stage for personalized immune intervention strategies for cancer patients.",Space Flight
25,GSM1865870,GSE72603,"We performed transcriptomic profiling for two models of adipose browning, the classical mouse model and our newly described great roundleaf bat (H. armiger) model. Transcriptomes were generated from subcutaneous adipose tissue (sWAT), intra-abdominal adipose tissue (aWAT) and interscapular BAT (iBAT) from male and female bats, as well as sWAT and iBAT from male and female mice, which were acclimatized to 10°C and 30°C.  These 20 trascriptomes allowed us to identity genes, GO terms, and pathways that show significant expression changes and are shared by both species during the browning process.",Space Flight
26,GSM4263018,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Space Flight
27,GSM4263019,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Space Flight
28,GSM4263017,GSE143581,We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Space Flight
