,gsm,gse,geo_summary,spaceflight
0,GSM8250035,GSE266549,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
1,GSM8250950,GSE266567,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
2,GSM8250067,GSE266549,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
3,GSM8250981,GSE266567,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
4,GSM8249807,GSE266549,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
5,GSM8250725,GSE266567,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
6,GSM8250099,GSE266549,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
7,GSM8251013,GSE266567,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
8,GSM8250835,GSE266567,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
9,GSM8249919,GSE266549,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",Ground Control
