,gsm,gse,geo_summary,spaceflight
0,GSM4256769,GSE143304,"Purpose: To identify alterations induced by developmental exposure to tributyltin at different stages of life Methods: Dams were treated with tributyltin during gestation and lactation in drinking water and pups were euthanized at different ages Results: We identified a number of changes in transcriptomic activity in 5 month, and ten month old pups after tributyltin exposure. Male animals exposed to tributyltin also developed fatty liver 5 months of age and adenomas of the liver at ten months of age.",Basal Control
1,GSM4388008,GSE146508,"The TaRGET (Toxicant Exposures and Responses by Genomic and Epigenomic Regulators of Transcription) program is a research consortium funded by the National Institute of Environmental Health Sciences (NIEHS). The goal of the collaboration is to address the role of environmental exposures in disease pathogenesis as a function of epigenome perturbation, including understanding the environmental control of epigenetic mechanisms and assessing the utility of surrogate tissue analysis in mouse models of disease-relevant environmental exposures (https://targetepigenomics.org).",Basal Control
2,GSM5068950,GSE166353,"Hepatitis A virus (HAV), an hepatotropic picornavirus, is a common cause of acute hepatitis in human populations. Although responsible for considerable morbidity and mortality, the mechanisms underlying HAV-mediated liver injury are poorly understood. Ifnar1-/- mice are susceptible to HAV and when infected recapitulate cardinal features of hepatitis A in humans, including serum ALT elevation, hepatocellular apoptosis, and intrahepatic inflammatory cell infiltrates. In contrast, Mavs-/- mice, while equally permissive for infection, experience no liver injury. Previous studies indicate that HAV pathogenesis in Ifnar1-/- mice is dependent upon MAVS-IRF3 signaling, but leave unresolved the role of IRF3-mediated transcription versus non-transcriptional pro-apoptotic activity of activated IRF3 in HAV-induced liver disease. Here, we compared the intrahepatic transcriptomes of HAV-infected naïve Mavs-/- and Ifnar1-/- mice using high throughput RNA sequencing, and characterized IRF3-mediated transcriptional responses associated with hepatocyte apoptosis and liver inflammation.",Basal Control
3,GSM3840115,GSE132056,"Ceramides contribute to the lipotoxicity that underlies diabetes, hepatic steatosis, and heart disease. By genetically engineering mice, we deleted the enzyme dihydroceramide desaturase-1 (DES1) which inserts a conserved double bond into the backbone of ceramides and other predominant sphingolipids. Ablation of DES1 from whole animals, or tissue-specific deletion in the liver, and/or adipose tissue resolved hepatic steatosis and insulin resistance in mice caused by leptin deficiency or obesogenic diets. Mechanistic studies revealed new ceramide actions that promoted lipid uptake and storage and impaired glucose utilization, none of which could be recapitulated by (dihydro)ceramides that lacked the critical double bond. These studies suggest that inhibition of DES1 may provide a means of treating hepatic steatosis and cardiometabolic disorders.",Basal Control
4,GSM2327521,GSE87299,"To explore the circadian regulations of Bmal1, we examined the transcriptome changes in mouse livers upon Bmal1 knock out at two circadian time points, CT0 and CT12. To explore the circadian regulations of Nr1d1, we examined the transcriptome changes in mouse livers upon Nr1d1 knock out at two circadian time points, CT0 and CT12. To explore interactome of lnc-Crot, 4C-seq was performed with lnc-Crot as bait region at CT6 and CT18.",Basal Control
5,GSM3534525,GSE124463,We profiled the chromatin interactions in liver from mice fed either an obesogenic or control diet.,Basal Control
6,GSM2327520,GSE87299,"To explore the circadian regulations of Bmal1, we examined the transcriptome changes in mouse livers upon Bmal1 knock out at two circadian time points, CT0 and CT12. To explore the circadian regulations of Nr1d1, we examined the transcriptome changes in mouse livers upon Nr1d1 knock out at two circadian time points, CT0 and CT12. To explore interactome of lnc-Crot, 4C-seq was performed with lnc-Crot as bait region at CT6 and CT18.",Basal Control
7,GSM4387988,GSE146508,"The TaRGET (Toxicant Exposures and Responses by Genomic and Epigenomic Regulators of Transcription) program is a research consortium funded by the National Institute of Environmental Health Sciences (NIEHS). The goal of the collaboration is to address the role of environmental exposures in disease pathogenesis as a function of epigenome perturbation, including understanding the environmental control of epigenetic mechanisms and assessing the utility of surrogate tissue analysis in mouse models of disease-relevant environmental exposures (https://targetepigenomics.org).",Basal Control
8,GSM4256773,GSE143304,"Purpose: To identify alterations induced by developmental exposure to tributyltin at different stages of life Methods: Dams were treated with tributyltin during gestation and lactation in drinking water and pups were euthanized at different ages Results: We identified a number of changes in transcriptomic activity in 5 month, and ten month old pups after tributyltin exposure. Male animals exposed to tributyltin also developed fatty liver 5 months of age and adenomas of the liver at ten months of age.",Basal Control
9,GSM5068955,GSE166353,"Hepatitis A virus (HAV), an hepatotropic picornavirus, is a common cause of acute hepatitis in human populations. Although responsible for considerable morbidity and mortality, the mechanisms underlying HAV-mediated liver injury are poorly understood. Ifnar1-/- mice are susceptible to HAV and when infected recapitulate cardinal features of hepatitis A in humans, including serum ALT elevation, hepatocellular apoptosis, and intrahepatic inflammatory cell infiltrates. In contrast, Mavs-/- mice, while equally permissive for infection, experience no liver injury. Previous studies indicate that HAV pathogenesis in Ifnar1-/- mice is dependent upon MAVS-IRF3 signaling, but leave unresolved the role of IRF3-mediated transcription versus non-transcriptional pro-apoptotic activity of activated IRF3 in HAV-induced liver disease. Here, we compared the intrahepatic transcriptomes of HAV-infected naïve Mavs-/- and Ifnar1-/- mice using high throughput RNA sequencing, and characterized IRF3-mediated transcriptional responses associated with hepatocyte apoptosis and liver inflammation.",Basal Control
