,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM3124744,0.9993684887886047,GSE113822,mRNA Seq of mouse tissues 9 weeks after RYGB or sham surgery [9 weeks],,,"In this study we sought to characterize the long tern response to RYGB surgery using diet induced obese mice. Controls were sham operated mice. Mice were age, sex, weight and diet matched.",diet induced obese male C57BL6 mice were subjected Roux en Y Gastric Bypass surgery or sham surgery. Both groups were then transferred to an elemental liquid diet and then gradually returned to high fat diet. Sham operated mice were weight matched by restriction of food. Mice were fasted overnight and sacrificed at 10am.,,,,172561,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/07/09,51,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113822/,,,,,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
1,GSM3402668,0.9993045330047607,GSE120533,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis [RNAseq/Riboseq],,,"Translation is a fundamental biological process, which defines every aspect of cell physiology. Dysregulation of protein synthesis is associated with the diseases, such as ribosomopathies, diabetes, and cancer. To examine translation dysregulation in vivo, we employed RNA interference to knockdown m-subunit of the translation initiation factor eIF3 exclusively in mouse liver. We observed an increase in the number of monosomes and multiple signs of impaired translation. We further characterized the early cellular response using transcriptome sequencing, ribosome profiling, whole proteome, and phosphoproteome analyses. The major response of hepatocytes to eIF3m deficiency was associated with the changes in mRNA expression, with almost no effect on translation efficiency for particular mRNAs. The transcription changes fell into two main categories: ribosome biogenesis (increased transcription of ribosomal proteins, dephosphorylation of eIF2α, and inhibition of rRNA processing) and cell metabolism (lipid, amino acid, nucleic acid, and drug metabolism). Overall, this work uncovers a new mode of regulation of protein synthesis mediated by the inhibition of translation initiation. It also highlights advantages of RNAi-based in vivo approach for studying regulatory network associated with essential factors involved in mammalian translation.","RNAseq/Riboseq experiment of Eif3m knockdown in mouse livers at day 9 (3 replicates) and day 13 (2 replicates). Please note that GSM3327719-GSM3327724 sample raw data (in GSE118394) have been re-analyzed in the currect study and therefore, duplicated sample records (GSM3402655-GSM3402660) have been created for the convenient retrieval of the complete raw data from SRA.",31855834,,,199775,GPL19057; GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2020/07/29,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120533/,In Vivo RNAi-Mediated eIF3m Knockdown Affects Ribosome Biogenesis and Transcription but Has Limited Impact on mRNA-Specific Translation.,Molecular therapy. Nucleic acids,2020 Mar 6,10.1016/j.omtn.2019.11.009,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
2,GSM3402669,0.9992336630821228,GSE120533,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis [RNAseq/Riboseq],,,"Translation is a fundamental biological process, which defines every aspect of cell physiology. Dysregulation of protein synthesis is associated with the diseases, such as ribosomopathies, diabetes, and cancer. To examine translation dysregulation in vivo, we employed RNA interference to knockdown m-subunit of the translation initiation factor eIF3 exclusively in mouse liver. We observed an increase in the number of monosomes and multiple signs of impaired translation. We further characterized the early cellular response using transcriptome sequencing, ribosome profiling, whole proteome, and phosphoproteome analyses. The major response of hepatocytes to eIF3m deficiency was associated with the changes in mRNA expression, with almost no effect on translation efficiency for particular mRNAs. The transcription changes fell into two main categories: ribosome biogenesis (increased transcription of ribosomal proteins, dephosphorylation of eIF2α, and inhibition of rRNA processing) and cell metabolism (lipid, amino acid, nucleic acid, and drug metabolism). Overall, this work uncovers a new mode of regulation of protein synthesis mediated by the inhibition of translation initiation. It also highlights advantages of RNAi-based in vivo approach for studying regulatory network associated with essential factors involved in mammalian translation.","RNAseq/Riboseq experiment of Eif3m knockdown in mouse livers at day 9 (3 replicates) and day 13 (2 replicates). Please note that GSM3327719-GSM3327724 sample raw data (in GSE118394) have been re-analyzed in the currect study and therefore, duplicated sample records (GSM3402655-GSM3402660) have been created for the convenient retrieval of the complete raw data from SRA.",31855834,,,199776,GPL19057; GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2020/07/29,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120533/,In Vivo RNAi-Mediated eIF3m Knockdown Affects Ribosome Biogenesis and Transcription but Has Limited Impact on mRNA-Specific Translation.,Molecular therapy. Nucleic acids,2020 Mar 6,10.1016/j.omtn.2019.11.009,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
3,GSM5718307,0.9987630844116211,GSE190216,Comprehensive Analysis of Transcriptome‐wide M6A Methylation for Hepatic Ischemia Reperfusion Injury in Mice,,,"Background: Hepatic ischemia reperfusion injury (IRI) is a complex clinical complication during surgery and often leads to cell damage and dysfunction. N6-Methyladenosine (m6A) is an emerging epigenetic modification that plays key roles in the regulation of biological functions and cellular mechanisms in IR injury in different organs. However, the understanding of m6A-modified mRNAs in hepatic IRI is limited. Methods: Methylated RNA immunoprecipitation with high-throughput sequencing (MeRIP-seq) and RNA sequencing (RNA-seq) were used to profile the transcriptome-wide distribution of m6A methylation for hepatic IRI in mice. Results: In this study, there were 2061 nonoverlapping m6A peaks within 22471 coding gene transcripts (mRNAs) in the sham group and 2669 nonoverlapping m6A peaks within 22766 coding gene transcripts in the hepatic IR group. The distribution of m6A peaks was especially enriched in the coding sequence (CDS) and 3'UTR. Moreover, functional enrichment analysis demonstrated that the significantly enriched terms of genes with upmethylated m6A sites were the mRNA surveillance pathway, purine metabolism and metabolic pathways, and the significantly enriched terms of genes with downmethylated m6A sites were the Rap1 signaling pathway, sphingolipid signaling pathway, platelet activation, Wnt signaling pathway, chemokine signaling pathway and focal adhesion. Furthermore, we identified a relationship between differentially methylated genes and differentially expressed genes to obtain the three overlapping predicted target genes (Fnip2, Phldb2, and Pcf11). Conclusions: Our study first identified a transcriptome-wide map of m6A mRNAs in hepatic IRI. An in-depth analysis according to methylation modifications will provide effective treatment strategies and a theoretical basis for future research in terms of molecular mechanisms.",The mRNA profiles of m6A methylation for hepatic IR group and the sham group in mice,37066716;39732885,,,575173,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2023/05/12,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190216/,Comprehensive analysis of transcriptome-wide M(6)A methylation for hepatic ischaemia reperfusion injury in mice.,Epigenetics,2023 Dec,10.1080/15592294.2023.2201716,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
4,GSM5718306,0.998719334602356,GSE190216,Comprehensive Analysis of Transcriptome‐wide M6A Methylation for Hepatic Ischemia Reperfusion Injury in Mice,,,"Background: Hepatic ischemia reperfusion injury (IRI) is a complex clinical complication during surgery and often leads to cell damage and dysfunction. N6-Methyladenosine (m6A) is an emerging epigenetic modification that plays key roles in the regulation of biological functions and cellular mechanisms in IR injury in different organs. However, the understanding of m6A-modified mRNAs in hepatic IRI is limited. Methods: Methylated RNA immunoprecipitation with high-throughput sequencing (MeRIP-seq) and RNA sequencing (RNA-seq) were used to profile the transcriptome-wide distribution of m6A methylation for hepatic IRI in mice. Results: In this study, there were 2061 nonoverlapping m6A peaks within 22471 coding gene transcripts (mRNAs) in the sham group and 2669 nonoverlapping m6A peaks within 22766 coding gene transcripts in the hepatic IR group. The distribution of m6A peaks was especially enriched in the coding sequence (CDS) and 3'UTR. Moreover, functional enrichment analysis demonstrated that the significantly enriched terms of genes with upmethylated m6A sites were the mRNA surveillance pathway, purine metabolism and metabolic pathways, and the significantly enriched terms of genes with downmethylated m6A sites were the Rap1 signaling pathway, sphingolipid signaling pathway, platelet activation, Wnt signaling pathway, chemokine signaling pathway and focal adhesion. Furthermore, we identified a relationship between differentially methylated genes and differentially expressed genes to obtain the three overlapping predicted target genes (Fnip2, Phldb2, and Pcf11). Conclusions: Our study first identified a transcriptome-wide map of m6A mRNAs in hepatic IRI. An in-depth analysis according to methylation modifications will provide effective treatment strategies and a theoretical basis for future research in terms of molecular mechanisms.",The mRNA profiles of m6A methylation for hepatic IR group and the sham group in mice,37066716;39732885,,,575172,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2023/05/12,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190216/,Comprehensive analysis of transcriptome-wide M(6)A methylation for hepatic ischaemia reperfusion injury in mice.,Epigenetics,2023 Dec,10.1080/15592294.2023.2201716,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
5,GSM3402667,0.9986088871955872,GSE120533,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis [RNAseq/Riboseq],,,"Translation is a fundamental biological process, which defines every aspect of cell physiology. Dysregulation of protein synthesis is associated with the diseases, such as ribosomopathies, diabetes, and cancer. To examine translation dysregulation in vivo, we employed RNA interference to knockdown m-subunit of the translation initiation factor eIF3 exclusively in mouse liver. We observed an increase in the number of monosomes and multiple signs of impaired translation. We further characterized the early cellular response using transcriptome sequencing, ribosome profiling, whole proteome, and phosphoproteome analyses. The major response of hepatocytes to eIF3m deficiency was associated with the changes in mRNA expression, with almost no effect on translation efficiency for particular mRNAs. The transcription changes fell into two main categories: ribosome biogenesis (increased transcription of ribosomal proteins, dephosphorylation of eIF2α, and inhibition of rRNA processing) and cell metabolism (lipid, amino acid, nucleic acid, and drug metabolism). Overall, this work uncovers a new mode of regulation of protein synthesis mediated by the inhibition of translation initiation. It also highlights advantages of RNAi-based in vivo approach for studying regulatory network associated with essential factors involved in mammalian translation.","RNAseq/Riboseq experiment of Eif3m knockdown in mouse livers at day 9 (3 replicates) and day 13 (2 replicates). Please note that GSM3327719-GSM3327724 sample raw data (in GSE118394) have been re-analyzed in the currect study and therefore, duplicated sample records (GSM3402655-GSM3402660) have been created for the convenient retrieval of the complete raw data from SRA.",31855834,,,199774,GPL19057; GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2020/07/29,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120533/,In Vivo RNAi-Mediated eIF3m Knockdown Affects Ribosome Biogenesis and Transcription but Has Limited Impact on mRNA-Specific Translation.,Molecular therapy. Nucleic acids,2020 Mar 6,10.1016/j.omtn.2019.11.009,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
6,GSM1644081,0.998576283454895,GSE67305,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames,,,"Mammalian gene expression displays widespread circadian oscillations. Rhythmic transcription underlies the core clock mechanism, but it cannot explain numerous observations made at the level of protein rhythmicity. We have used ribosome profiling in mouse liver to measure the translation of mRNAs into protein around-the-clock and at high temporal and nucleotide resolution. Transcriptome-wide, we discovered extensive rhythms in ribosome occupancy, and identified a core set of ≈150 mRNAs subject to particularly robust daily changes in translation efficiency. Cycling proteins produced from non-oscillating transcripts revealed thus far unknown rhythmic regulation associated with specific pathways (notably in iron metabolism, through the rhythmic translation of transcripts containing iron responsive elements), and indicated feedback to the rhythmic transcriptome through novel rhythmic transcription factors. Moreover, estimates of relative levels of core clock protein biosynthesis that we deduced from the data explained known features of the circadian clock better than did mRNA expression alone. Finally, we identified uORF translation as a novel regulatory mechanism within the clock circuitry. Consistent with the occurrence of translated uORFs in several core clock transcripts, loss-of-function of Denr, a known regulator of re-initiation after uORF usage and of ribosome recycling, led to circadian period shortening in cells. In summary, our data offer a framework for understanding the dynamics of translational regulation, circadian gene expression, and metabolic control in a solid mammalian organ.","A total of 48 mice were entrained under 12hours light:dark conditions for 2 weeks and also collected under 12hours light:dark. Mice were sacrificed every two hours during the 24 hours daily cycle. Two replicates per time point, each replicate is a pool of 2 livers.",26486724;27114907;28475894,,,33228,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2015/10/14,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames.,Genome research,2015 Dec,10.1101/gr.195404.115,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
7,GSM1644078,0.9985473155975342,GSE67305,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames,,,"Mammalian gene expression displays widespread circadian oscillations. Rhythmic transcription underlies the core clock mechanism, but it cannot explain numerous observations made at the level of protein rhythmicity. We have used ribosome profiling in mouse liver to measure the translation of mRNAs into protein around-the-clock and at high temporal and nucleotide resolution. Transcriptome-wide, we discovered extensive rhythms in ribosome occupancy, and identified a core set of ≈150 mRNAs subject to particularly robust daily changes in translation efficiency. Cycling proteins produced from non-oscillating transcripts revealed thus far unknown rhythmic regulation associated with specific pathways (notably in iron metabolism, through the rhythmic translation of transcripts containing iron responsive elements), and indicated feedback to the rhythmic transcriptome through novel rhythmic transcription factors. Moreover, estimates of relative levels of core clock protein biosynthesis that we deduced from the data explained known features of the circadian clock better than did mRNA expression alone. Finally, we identified uORF translation as a novel regulatory mechanism within the clock circuitry. Consistent with the occurrence of translated uORFs in several core clock transcripts, loss-of-function of Denr, a known regulator of re-initiation after uORF usage and of ribosome recycling, led to circadian period shortening in cells. In summary, our data offer a framework for understanding the dynamics of translational regulation, circadian gene expression, and metabolic control in a solid mammalian organ.","A total of 48 mice were entrained under 12hours light:dark conditions for 2 weeks and also collected under 12hours light:dark. Mice were sacrificed every two hours during the 24 hours daily cycle. Two replicates per time point, each replicate is a pool of 2 livers.",26486724;27114907;28475894,,,33225,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2015/10/14,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames.,Genome research,2015 Dec,10.1101/gr.195404.115,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
8,GSM1644080,0.9985290765762329,GSE67305,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames,,,"Mammalian gene expression displays widespread circadian oscillations. Rhythmic transcription underlies the core clock mechanism, but it cannot explain numerous observations made at the level of protein rhythmicity. We have used ribosome profiling in mouse liver to measure the translation of mRNAs into protein around-the-clock and at high temporal and nucleotide resolution. Transcriptome-wide, we discovered extensive rhythms in ribosome occupancy, and identified a core set of ≈150 mRNAs subject to particularly robust daily changes in translation efficiency. Cycling proteins produced from non-oscillating transcripts revealed thus far unknown rhythmic regulation associated with specific pathways (notably in iron metabolism, through the rhythmic translation of transcripts containing iron responsive elements), and indicated feedback to the rhythmic transcriptome through novel rhythmic transcription factors. Moreover, estimates of relative levels of core clock protein biosynthesis that we deduced from the data explained known features of the circadian clock better than did mRNA expression alone. Finally, we identified uORF translation as a novel regulatory mechanism within the clock circuitry. Consistent with the occurrence of translated uORFs in several core clock transcripts, loss-of-function of Denr, a known regulator of re-initiation after uORF usage and of ribosome recycling, led to circadian period shortening in cells. In summary, our data offer a framework for understanding the dynamics of translational regulation, circadian gene expression, and metabolic control in a solid mammalian organ.","A total of 48 mice were entrained under 12hours light:dark conditions for 2 weeks and also collected under 12hours light:dark. Mice were sacrificed every two hours during the 24 hours daily cycle. Two replicates per time point, each replicate is a pool of 2 livers.",26486724;27114907;28475894,,,33227,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2015/10/14,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames.,Genome research,2015 Dec,10.1101/gr.195404.115,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
9,GSM1644096,0.9985277652740479,GSE67305,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames,,,"Mammalian gene expression displays widespread circadian oscillations. Rhythmic transcription underlies the core clock mechanism, but it cannot explain numerous observations made at the level of protein rhythmicity. We have used ribosome profiling in mouse liver to measure the translation of mRNAs into protein around-the-clock and at high temporal and nucleotide resolution. Transcriptome-wide, we discovered extensive rhythms in ribosome occupancy, and identified a core set of ≈150 mRNAs subject to particularly robust daily changes in translation efficiency. Cycling proteins produced from non-oscillating transcripts revealed thus far unknown rhythmic regulation associated with specific pathways (notably in iron metabolism, through the rhythmic translation of transcripts containing iron responsive elements), and indicated feedback to the rhythmic transcriptome through novel rhythmic transcription factors. Moreover, estimates of relative levels of core clock protein biosynthesis that we deduced from the data explained known features of the circadian clock better than did mRNA expression alone. Finally, we identified uORF translation as a novel regulatory mechanism within the clock circuitry. Consistent with the occurrence of translated uORFs in several core clock transcripts, loss-of-function of Denr, a known regulator of re-initiation after uORF usage and of ribosome recycling, led to circadian period shortening in cells. In summary, our data offer a framework for understanding the dynamics of translational regulation, circadian gene expression, and metabolic control in a solid mammalian organ.","A total of 48 mice were entrained under 12hours light:dark conditions for 2 weeks and also collected under 12hours light:dark. Mice were sacrificed every two hours during the 24 hours daily cycle. Two replicates per time point, each replicate is a pool of 2 livers.",26486724;27114907;28475894,,,33243,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2015/10/14,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames.,Genome research,2015 Dec,10.1101/gr.195404.115,OSD-245|Mmus_C57-6T_LVR_BSL_ISS-T_Rep10_B2,Basal Control
